Name of the raag,Aaroh - Avroh,Pakad,Vadi-Samvadi,Time,Swara - Set,Gamak,Rasa(emotional essence or mood))
Lalit,",N r G M d N S'; - S' N d; M d M m; G M G r S",",N r G m M m G r S ; G M d N d M m; r' N d M m; G m M m; G; M G r S",Shuddha Madhyam - Shadj,3AM to 6AM,S-r-G-mM-d-N-S,S R G~ M~ M P~ N S | S N~ D~ P M~ G R S,Shanta
Lanka Dahan Sarang,"S R m P N S'; - S' n D P ; m P D P ; g R g R S ,N S","m P S' ; n P ; m P ; R g R S ; ,n ,P ,m ,P ,N S",Shadj - Madhyam,9AM to 12PM,S-R-g-m-P-D-nN-S,S R~ G M P~ N~ S | S N~ D P~ M G~ R S,Raudra
Madhukauns,S g M P n S' - S' n P M g S,S g M ; P M g M P ; M P n S' ; S' n P M ; g M g S,Pancham - Shadj,9PM to 12AM,S-g-M-P-n-S,S G~ M~ D~ N S | S N~ D~ M G~ R S,Adbhuta
Madhumad Sarang,",n S; R m P n S'; - S' n P m R S",",n S R ; m R ; P m R ; n P m R ; P m R S",Rishabh - Pancham,12PM to 3PM,S-R-m-P-n-S,S R G~ M~ P~ N S | S N~ D~ P M~ G R S,Hasya
Madhuvanti,",N S g M P N S'; - S' N D P M g M g R S ,N S",",N S M g M P; M g S R S",Pancham - Shadj,3PM to 6PM,S-R-g-M-P-D-N-S,S R G~ M~ D~ N S | S N~ D P M~ G R S,Shringar
Malgunji,S R G m D n S'; - S' n D P m G R G m g R S,"G m g R S ; ,n S ; ,D ,n S R G m ",Madhyam - Shadj,12AM to 3AM,S-R-gG-m-P-D-n-S,S G~ M P D~ N S | S N~ D~ P M G~ R S,Shringar
Malhar,",N S; m R P ; g m R S; m R P n D N S'; - S' n D n P; m P g g m R S","S R; R P; g g m R S; ,n D ,N ,N S",Pancham - Shadj,9PM to 12AM,S-R-g-m-P-D-nN-S,S R M~ P N S | S N D~ P M G~ R S,Adbhuta
Malkauns,S g m d n S'; - S' n d m g S,",d ,n S g m; g m n d m; d n S'; g’ S’ n d",Madhyam - Shadj,12AM to 3AM,S-g-m-d-n-S,S G~ M~ D~ N S | S N~ D~ M~ G~ R S,Adbhuta
Mand,S R G m P D N P D S'; - S' N D P m G R G S,G m P D S' N D; D P m; m P G R G S,Shadj - Pancham,9PM to 12AM,S-R-G-m-P-D-N-S,S G~ M P~ D N~ S | S N~ D P M~ G R S,Shringar
Maru Bihag,S G M P N S'; - S' N D P M G M G R S,"M G ; M G R S ; S ,N S ; m G P ; M G M G R S",Pancham - Shadj,9PM to 12AM,S-R-G-mM-P-D-N-S,S G~ M~ P~ D N S | S N D~ P M~ G~ R S,Shringar
Marwa,"S ,D ,N r G M D N S'; - S' N D M G r S ; ,N ,D S ,N r S ","S ; ,N ,D S ,N r ; r G M D ; D M G r ; ,N ,D r S",Rishabh - Dhaivat,3PM to 6PM,S-r-G-M-D-N-S,S r~ G~ M~ D~ N S | S N~ D~ M~ G r S,Bhayanak
Megh Malhar,"S (m)R m P ,n S'; - S' n P m R S; R ,n S",",n S R P m R ; m P m R ; m P ; P m n P m R ; R R P m R R S ,n S",Madhyam - Shadj,3 PM to 9 PM,S-R-m-P-n-S,S R M~ P~ N~ S | S N~ D~ P M R~ S,Adbhuta
Mohankauns,S G m d n S' - S' n d m g S,"S G m g S ; ,n ,d ; ,n S ; S m G ; m d n d m G ; m G g S",Madhyam - Shadj,9PM to 12AM,S-gG-m-d-n-S,S G~ M~ D~ N~ S | S N~ D~ M~ G~ R S,Karuna
Multani,",N S g M P N S'; - S' N d P M g r S",",N S ; M g ; M g P ; M g M g r S ",Pancham - Shadj,12PM to 3PM,S-r-g-M-P-d-N-S,S r~ G M~ D~ N S | S N~ D~ P M~ G r~ S,Karuna
Nand,S G m D P R S ; G m P N S'; - S D N P ; D M P G ; G m D P R S ,S G m D P R S ; G m P D N ; (D)P ; P D (P) m m P ; G m D P R S ,Shadj - Pancham,9PM to 12AM,S-R-G-mM-P-D-N-S,S G~ M P~ N D~ S | S D~ N P M G~ R S,Shringar
Narayani,S R m P D S'; - S' n D P m R S,"S R ,n ,D ,P ; ,m ,P ,D S ; m R ; m R S ; S R P ; m P n D D P ; D P m R S",Shadj - Pancham,9PM to 12AM,S-R-m-P-D-n-S,S R~ G~ M P~ D N S | S N~ D P M~ G R~ S,Veera
Nayaki Kanada,S R (m)g m P n P S'; - S' n P n P m P (m)g g m R S,"R ,n S R P (m)g ; g m P m R S R S ; g m n P ; n m P (m)g m P m R S R R S; m P n P S'; P n P; g m R S",Madhyam - Shadj,9PM to 12AM,S-R-g-m-P-n-S,S r~ G M~ D~ N S | S N~ D~ M G~ r~ S,Karuna
Nut Bhairav,S R G m P d N S'; - S' N d P m G R S,"R G m d P ; m G R ; G m R S ,N ,d S",Madhyam - Shadj,6AM to 9AM,S-R-G-m-P-d-N-S,S r~ G~ M P~ D~ N S | S N~ D~ P M~ G r~ S,Shanta
Parameshwari,S r g m D n S'; - S' n D m g r S,"S r g m D m ; g m D m g r ; g r ,n ,d ; ,d ,n r S",Madhyam - Shadj,9AM to 12PM,S-r-g-m-D-n-S,S r~ G M~ D~ N S | S N~ D~ M~ G~ r~ S,Adbhuta
Patdeep,",N S g m P N S'; - S' N D P m g R S ,N S","g m P N S' D P ; mg mP N N N S' ; D P m g m P ; P g m ; g R S ,N ,N S",Pancham - Shadj,12PM to 3PM,S-R-g-m-P-D-N-S,S R~ G~ M~ P N~ S | S N D~ P M~ G~ R S,Karuna
Pilu,"S G m P N S'; - S' n D P m g R S ; ,N S g R S","G m P N S' ; n D P ; m P N d P ; m g R S ; P g R S ,N ; S g R S",Gandhar - Nishad,12PM to 3PM,S-R-gG-m-P-dD-nN-S,S R~ G~ M P~ D N~ S | S N~ D P~ M~ G R~ S,Shringar
Puriya,",N r G M D N S'; - S' N D M ; G M D ; G M G r S","N R G ; G M D G M G ; N M G ; G M G r S ; ,N ,M ,D S ; ,N r G r S",Gandhar - Nishad,9PM to 12AM,S-r-G-M-D-N-S,N r~ G~ M D~ N S | S N~ D~ P M~ G r~ S,Bhayanak
Puriya Dhanashree,",N r S ; ,N r G M P ; M d N S' - S' N d P M G M r G r S",",N r G M P ; P M G M r G ; M d P ; M d N S'; N r' ; N d P ; P d P P M G M r G ; r S",Pancham - Shadj,3PM to 6PM,S-r-G-M-P-d-N-S,N r~ G~ M D~ N S | S N~ D~ P~ M~ G r~ S,Bhayanak
Puriya Kalyan,S r G M P D N S' - S' N D P M G r G r S,",N r G M P M r G r S; M D P; M D N S'",Shadj - Pancham,3PM to 6PM,S-r-G-M-P-D-N-S,N~ R~ G~ M D~ N S | S N~ D P~ M G~ R S,Shanta
